observation_id,prediction,base_value,feature,feature_value,shap_value
2014_total,26.63700740120578,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_total,26.63700740120578,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_total,26.63700740120578,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_total,26.63700740120578,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_total,26.63700740120578,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_total,26.63700740120578,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2014_young_adults,16.705909658309103,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_young_adults,16.705909658309103,36.698230533636114,is_female,0.0,0.7110976710403054
2014_young_adults,16.705909658309103,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_young_adults,16.705909658309103,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_young_adults,16.705909658309103,36.698230533636114,is_young_adult,1.0,-8.827642438130377
2014_young_adults,16.705909658309103,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_young_adults,16.705909658309103,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_young_adults,16.705909658309103,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_female,27.67902588491181,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_female,27.67902588491181,36.698230533636114,is_female,1.0,-5.688781368322444
2017_female,27.67902588491181,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_female,27.67902588491181,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_female,27.67902588491181,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_female,27.67902588491181,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_female,27.67902588491181,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_female,27.67902588491181,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_male,34.07890492427455,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_male,34.07890492427455,36.698230533636114,is_female,0.0,0.7110976710403054
2017_male,34.07890492427455,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_male,34.07890492427455,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_male,34.07890492427455,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_male,34.07890492427455,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_male,34.07890492427455,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_male,34.07890492427455,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_older_adults,35.90353108126359,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_older_adults,35.90353108126359,36.698230533636114,is_female,0.0,0.7110976710403054
2017_older_adults,35.90353108126359,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_older_adults,35.90353108126359,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_older_adults,35.90353108126359,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_older_adults,35.90353108126359,36.698230533636114,is_older_adult,1.0,1.6218899173235806
2017_older_adults,35.90353108126359,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_older_adults,35.90353108126359,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_poorest_40,24.020367658680275,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_poorest_40,24.020367658680275,36.698230533636114,is_female,0.0,0.7110976710403054
2017_poorest_40,24.020367658680275,36.698230533636114,is_poorest_40,1.0,-8.940922013861584
2017_poorest_40,24.020367658680275,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_poorest_40,24.020367658680275,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_poorest_40,24.020367658680275,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_poorest_40,24.020367658680275,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_poorest_40,24.020367658680275,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_primary_education_or_less,27.358116206414916,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_primary_education_or_less,27.358116206414916,36.698230533636114,is_female,0.0,0.7110976710403054
2017_primary_education_or_less,27.358116206414916,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_primary_education_or_less,27.358116206414916,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_primary_education_or_less,27.358116206414916,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_primary_education_or_less,27.358116206414916,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_primary_education_or_less,27.358116206414916,36.698230533636114,is_primary_education,1.0,-5.974034415875235
2017_primary_education_or_less,27.358116206414916,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_richest_60,37.266326311493145,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_richest_60,37.266326311493145,36.698230533636114,is_female,0.0,0.7110976710403054
2017_richest_60,37.266326311493145,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_richest_60,37.266326311493145,36.698230533636114,is_richest_60,1.0,2.8332634553054157
2017_richest_60,37.266326311493145,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_richest_60,37.266326311493145,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_richest_60,37.266326311493145,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_richest_60,37.266326311493145,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,is_female,0.0,0.7110976710403054
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_secondary_education_or_more,55.983500537759184,36.698230533636114,is_secondary_education,1.0,19.47075165643078
2017_total,34.07890492427455,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_total,34.07890492427455,36.698230533636114,is_female,0.0,0.7110976710403054
2017_total,34.07890492427455,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_total,34.07890492427455,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_total,34.07890492427455,36.698230533636114,is_young_adult,0.0,1.103455304766297
2017_total,34.07890492427455,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_total,34.07890492427455,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_total,34.07890492427455,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2017_young_adults,24.147807181377882,36.698230533636114,trend_years,6.0,-3.3075100102527912
2017_young_adults,24.147807181377882,36.698230533636114,is_female,0.0,0.7110976710403054
2017_young_adults,24.147807181377882,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2017_young_adults,24.147807181377882,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2017_young_adults,24.147807181377882,36.698230533636114,is_young_adult,1.0,-8.827642438130377
2017_young_adults,24.147807181377882,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2017_young_adults,24.147807181377882,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2017_young_adults,24.147807181377882,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2024_female,45.04345343873896,36.698230533636114,trend_years,13.0,14.056917543574363
2024_female,45.04345343873896,36.698230533636114,is_female,1.0,-5.688781368322444
2024_female,45.04345343873896,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2024_female,45.04345343873896,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2024_female,45.04345343873896,36.698230533636114,is_young_adult,0.0,1.103455304766297
2024_female,45.04345343873896,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2024_female,45.04345343873896,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2024_female,45.04345343873896,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2024_male,51.44333247810171,36.698230533636114,trend_years,13.0,14.056917543574363
2024_male,51.44333247810171,36.698230533636114,is_female,0.0,0.7110976710403054
2024_male,51.44333247810171,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2024_male,51.44333247810171,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2024_male,51.44333247810171,36.698230533636114,is_young_adult,0.0,1.103455304766297
2024_male,51.44333247810171,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2024_male,51.44333247810171,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2024_male,51.44333247810171,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2024_older_adults,53.267958635090736,36.698230533636114,trend_years,13.0,14.056917543574363
2024_older_adults,53.267958635090736,36.698230533636114,is_female,0.0,0.7110976710403054
2024_older_adults,53.267958635090736,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2024_older_adults,53.267958635090736,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2024_older_adults,53.267958635090736,36.698230533636114,is_young_adult,0.0,1.103455304766297
2024_older_adults,53.267958635090736,36.698230533636114,is_older_adult,1.0,1.6218899173235806
2024_older_adults,53.267958635090736,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2024_older_adults,53.267958635090736,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2024_poorest_40,41.38479521250743,36.698230533636114,trend_years,13.0,14.056917543574363
2024_poorest_40,41.38479521250743,36.698230533636114,is_female,0.0,0.7110976710403054
